code,city,lat,lon,hasLab,osm_dist_wwtp_m,osm_dist_farmland_m,osm_urban_frac_2km,osm_nearest_wwtp_name,distanceToSewageStations,distChampCulture,urbanPct2000m,healthRiskScore,scaledPathogenRisk,scaledFecalRisk,scaledArgRisk
G10,Ghent,50.88344,3.71431,True,2600.7,10.2,0.1279,,10957.77,10662.19,0.0,0.1677,0.0248,0.1193,0.3591
G22,Ghent,50.88527,3.692821,True,4092.3,22.0,0.0934,,9351.09,10453.12,0.0,0.1858,0.1501,0.2921,0.1152
G11,Ghent,50.88437,3.68791,True,4398.6,49.3,0.0877,,9244.24,10581.36,0.0,0.2251,0.1253,0.2544,0.2956
G12,Ghent,50.88541,3.68606,True,4552.8,83.3,0.0855,,8990.99,10480.01,0.0,0.225,0.0995,0.2129,0.3624
G13,Ghent,50.97958,3.72241,True,1602.0,284.2,0.2806,,2544.36,912.85,29.35,0.2102,0.0752,0.2104,0.345
G14,Ghent,50.99821,3.73925,True,898.3,224.0,0.4346,RWZI Merelbeke,1431.57,1210.26,43.92,0.1563,0.0,0.1323,0.3366
G15,Ghent,50.98975,3.80615,True,619.0,94.7,0.2144,RWZI Melle,986.25,5228.22,23.07,0.2244,0.0513,0.1673,0.4544
G16,Ghent,50.99491,3.80568,True,484.4,462.7,0.2534,RWZI Melle,769.32,4687.17,31.1,0.3117,0.2484,0.2897,0.3971
G17,Ghent,51.02678,3.77389,False,2623.4,790.7,0.4513,RWZI Destelbergen,,,,,,,
G18,Ghent,51.05458,3.68126,False,10.2,672.3,0.3177,RWZI Gent,,,,,,,
G1,Ghent,50.94744,3.8168,False,2920.5,86.5,0.1483,RWZI Oosterzele,,,,,,,
G4,Ghent,50.87507,3.80222,True,3572.2,116.9,0.3232,,11551.6,13479.55,0.0,0.2363,0.0503,0.1824,0.4763
G21,Ghent,50.89162,3.81558,True,3447.8,28.8,0.2402,,9354.99,12504.6,0.0,0.2896,0.0499,0.3255,0.4933
G5,Ghent,50.87539,3.74917,True,32.2,217.5,0.1274,,11522.22,11965.29,0.0,0.2392,0.0496,0.3549,0.313
G19,Ghent,51.02843,3.786,False,2534.3,350.0,0.3914,RWZI Destelbergen,,,,,,,
G20,Ghent,51.0939,3.71687,False,1292.7,419.0,0.6566,RWZI Evergem,,,,,,,
G3,Ghent,50.87604,3.75174,True,122.6,44.6,0.1313,,11339.64,11945.38,0.0,0.1971,0.1004,0.3096,0.1812
G7,Ghent,50.86216,3.76577,True,1739.8,90.0,0.0899,,13507.31,13714.22,0.0,0.1936,0.0746,0.2452,0.261
T21,Toulouse,43.59278,1.34767,False,2029.6,1075.7,0.7669,Eau de Toulouse - Site de Tournefeuille,,,,,,,
T24,Toulouse,43.59604,1.36671,False,3146.1,1423.6,0.7234,Eau de Toulouse - Site de Tournefeuille,,,,,,,
T1,Toulouse,43.55267,1.49147,True,1576.7,8.5,0.5072,Station d'épuration,2189.89,1335.6,53.64,0.4039,0.4012,0.532,0.2785
T3,Toulouse,43.52756,1.47439,True,1857.6,0.0,0.4541,Station d'épuration,2570.42,793.42,43.82,0.3922,0.3248,0.3904,0.4614
